,Player,enterYear,retireYear,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,OWS,DWS,WS,OBPM,DBPM,BPM,VORP,TS%,3PAr,FTr,WS/48,FG%,3P%,2P%,eFG%,FT%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,MP_PG,FG_PG,FGA_PG,3P_PG,3PA_PG,2P_PG,2PA_PG,FT_PG,FTA_PG,ORB_PG,DRB_PG,TRB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG
3377,Sergei Bazarevich,1995,1995,PG,10,0,74,11,22,1,6,10,16,7,9,1,6,7,14,1,1,7,10,30,13.6,0.1,0.1,0.2,-1.8,-3.1,-4.9,-0.1,0.578,0.273,0.409,0.101,0.5,0.167,0.625,0.523,0.778,0.015,0.097,0.055,0.314,0.007,0.01,0.212,0.202,7.4,1.1,2.2,0.1,0.6,1.0,1.6,0.7,0.9,0.1,0.6,0.7,1.4,0.1,0.1,0.7,1.0,3.0
3378,Sergei Monia,2006,2006,SF,52,30,686,58,174,18,68,40,106,20,28,22,82,104,38,14,10,24,82,154,8.2,-0.2,0.1,-0.1,-4.4,-1.1,-5.5,-0.2,0.392,0.426,0.434,0.004,0.225,0.179,0.254,0.26,0.794,0.026,0.152,0.089,0.06,0.032,0.007,0.077,0.159,13.2,1.1,3.3,0.3,1.3,0.8,2.0,0.4,0.5,0.4,1.6,2.0,0.7,0.3,0.2,0.5,1.6,3.0
3379,Sergey Karasev,2014,2016,SF,95,22,1110,96,243,31,110,65,133,64,76,30,110,140,87,32,4,57,94,287,7.1,0.1,0.2,0.3,-3.0,-1.3,-4.3,-0.1,0.513,0.482,0.316,0.017,0.384,0.268,0.496,0.448,0.864,0.022,0.117,0.069,0.1,0.013,0.003,0.186,0.136,11.7,1.0,2.6,0.3,1.2,0.7,1.4,0.7,0.8,0.3,1.2,1.5,0.9,0.3,0.0,0.6,1.0,3.0
3380,Sergio Rodriguez,2007,2017,PG,419,60,6329,843,2002,234,691,609,1311,261,354,145,469,614,1395,261,18,605,525,2181,13.0,0.2,0.6,0.8,-1.1,-2.2,-3.3,-0.3,0.508,0.322,0.196,0.04,0.427,0.332,0.469,0.48,0.737,0.027,0.085,0.055,0.344,0.022,0.002,0.221,0.2,15.1,2.0,4.8,0.6,1.6,1.5,3.1,0.6,0.8,0.3,1.1,1.5,3.3,0.6,0.0,1.4,1.3,5.2
3381,Seth Curry,2014,2017,PG,120,51,2755,442,936,189,436,253,500,130,154,34,208,242,256,105,10,128,169,1203,8.6,0.7,0.3,1.0,-3.4,0.7,-2.7,0.3,0.441,0.391,0.077,0.039,0.32,0.575,0.198,0.429,0.841,0.005,0.111,0.057,0.076,0.038,0.001,0.047,0.131,23.0,3.7,7.8,1.6,3.6,2.1,4.2,1.1,1.3,0.3,1.7,2.0,2.1,0.9,0.1,1.1,1.4,10.0
3382,Shabazz Muhammad,2014,2017,SF,235,14,4354,856,1800,116,360,740,1440,462,617,271,423,694,137,72,21,177,253,2290,15.8,1.8,0.1,1.9,-0.3,-3.9,-4.2,-0.5,0.544,0.171,0.34,0.081,0.474,0.323,0.506,0.502,0.726,0.076,0.114,0.095,0.055,0.01,0.004,0.083,0.232,18.5,3.6,7.7,0.5,1.5,3.1,6.1,2.0,2.6,1.2,1.8,3.0,0.6,0.3,0.1,0.8,1.1,9.7
3383,Shabazz Napier,2015,2017,PG,159,12,2124,228,612,111,314,117,298,115,150,34,195,229,294,95,7,168,152,682,10.8,-0.2,0.6,0.4,-1.7,-1.5,-3.2,-0.2,0.503,0.513,0.246,0.029,0.373,0.354,0.393,0.464,0.765,0.018,0.104,0.061,0.208,0.024,0.002,0.194,0.188,13.4,1.4,3.8,0.7,2.0,0.7,1.9,0.7,0.9,0.2,1.2,1.4,1.8,0.6,0.0,1.1,1.0,4.3
3384,Shaler Halimon,1969,1972,SF,251,0,4175,786,2006,0,0,786,2006,273,429,0,0,988,517,0,0,0,459,1845,6.7,-0.8,0.7,-0.1,,,,,0.366,,0.2,-0.043,0.348,,0.348,0.348,0.462,,,0.066,0.135,,,,,16.6,3.1,8.0,0.0,0.0,3.1,8.0,1.1,1.7,0.0,0.0,3.9,2.1,0.0,0.0,0.0,1.8,7.4
3385,Shammond Williams,1999,2007,PG,456,43,7995,991,2495,379,1061,612,1434,413,516,139,610,749,1147,310,22,492,581,2774,14.7,0.7,0.5,1.2,0.1,-3.1,-3.0,-0.1,0.507,0.389,0.545,0.102,0.357,0.343,0.388,0.425,0.784,0.018,0.08,0.048,0.259,0.019,0.002,0.139,0.197,17.5,2.2,5.5,0.8,2.3,1.3,3.1,0.9,1.1,0.3,1.3,1.6,2.5,0.7,0.0,1.1,1.3,6.1
3386,Shandon Anderson,1997,2006,SF,785,231,17117,2094,4583,312,1001,1782,3582,1082,1458,624,1819,2443,1077,596,194,1008,1575,5582,9.5,0.8,1.3,2.1,-2.0,0.1,-2.0,0.4,0.482,0.224,0.279,0.051,0.415,0.27,0.45,0.443,0.744,0.047,0.112,0.08,0.086,0.017,0.007,0.175,0.156,21.8,2.7,5.8,0.4,1.3,2.3,4.6,1.4,1.9,0.8,2.3,3.1,1.4,0.8,0.2,1.3,2.0,7.1
